Run ID (log path),QC (min query count),Max latency (ns),QPS w/ loadgen overhead,QPS w/o loadgen overhead
A100_v4.1_logs,256,1953083,668.08,683.53
A100_v4.1_logs,16,2155161,597.47,601.66
A100_v4.1_logs,64,1842032,660.75,678.79
A100_v4.1_logs,64,2276088,637.35,644.38
A100_v4.1_logs,256,1979912,670.85,687.69
A100_v4.1_logs,256,1844799,685.07,691.48
A100_v4.1_logs,256,1968520,671.11,690.16
A100_v4.1_logs,16,1737444,648.02,653.93
A100_v4.1_logs,16,1718780,648.12,668.10
A100_v4.1_logs,64,1879392,674.89,680.29
A100_v4.1_logs,32,2000031,654.89,659.16
A100_v4.1_logs,128,2100832,653.78,657.87
A100_v4.1_logs,16,1749329,637.85,652.47
A100_v4.1_logs,64,1828348,689.80,694.35
H100_v4.1_logs,256,1518188,832.37,838.55
H100_v4.1_logs,16,1348723,798.98,808.68
H100_v4.1_logs,16,1342744,803.13,810.72
H100_v4.1_logs,64,1573841,772.86,781.54
H100_v4.1_logs,16,1544607,718.39,726.52
H100_v4.1_logs,256,1594131,836.79,847.49
H100_v4.1_logs,32,1464076,774.06,781.48
H100_v4.1_logs,128,1567381,810.56,815.00
H100_v4.1_logs,256,2206612,836.40,841.17
H100_v4.1_logs,256,3087222,832.45,836.54
H100_v4.1_logs,128,1416254,845.94,851.09
H100_v4.1_logs,128,1515232,818.99,824.28
H100_v4.1_logs,256,1561151,830.65,835.70
H100_v4.1_logs,64,1588733,772.76,780.20
H100_v4.1_logs,64,1412169,835.02,841.73
H100_v4.1_logs,32,1543765,747.33,754.15
H100_v4.1_logs,32,1535273,754.30,760.98
H100_v4.1_logs,32,2964586,711.80,716.34
H100_v4.1_logs,256,1507353,836.81,841.26
H100_v4.1_logs,128,1513269,819.54,824.91
H100_v4.1_logs,256,1423525,855.99,859.57
H100_v4.1_logs,256,1573270,830.54,834.68
H100_v4.1_logs,128,2892669,823.39,829.19
H100_v4.1_logs,128,1506028,818.37,824.68
H100_v4.1_logs,16,1503105,740.62,751.84
H100_v4.1_logs,128,1494611,822.36,827.20
H100_v4.1_logs,128,1410285,848.61,853.23
H100_v4.1_logs,256,2913901,822.27,826.67
H100_v4.1_logs,32,1493691,767.74,775.90
H100_v4.1_logs,16,1563144,721.43,725.16
H100_v4.1_logs,64,1497857,802.55,809.92
H100_v4.1_logs,16,1366881,787.39,799.09
H100_v4.1_logs,64,3380330,776.85,784.29
H100_v4.1_logs,64,1416666,831.82,838.66
H100_v4.1_logs,32,1480971,767.92,775.69
H100_v4.1_logs,256,1413851,854.13,859.02
H100_v4.1_logs,16,1481002,744.48,753.59
H100_v4.1_logs,16,1443496,747.86,757.93
H100_v4.1_logs,64,1409655,840.20,845.36
H100_v4.1_logs,32,1491758,772.47,779.67
H100_v4.1_logs,16,1467785,742.06,752.57
H100_v4.1_logs,32,2374352,757.93,763.68
H100_v4.1_logs,16,1474022,743.04,751.86
H100_v4.1_logs,64,1415664,831.33,839.30
H100_v4.1_logs,64,1514211,797.35,803.28
H100_v4.1_logs,128,1511737,819.19,823.95
H100_v4.1_logs,32,1472989,775.77,781.66
H100_v4.1_logs,16,1572319,704.78,714.56
H100_v4.1_logs,64,1585047,773.69,782.64
H100_v4.1_logs,16,1527681,715.16,724.06
H100_v4.1_logs,16,1343355,804.06,811.36
H100_v4.1_logs,128,1420802,842.65,848.20
H100_v4.1_logs,256,1517427,835.97,840.48
H100_v4.1_logs,64,1423655,829.54,837.39
H100_v4.1_logs,32,1477236,765.60,772.63
H100_v4.1_logs,64,2458417,787.08,794.42
H100_v4.1_logs,16,1484237,736.46,747.86
H100_v4.1_logs,128,1514090,818.18,823.08
H100_v4.1_logs,32,2883395,721.95,728.40
H100_v4.1_logs,16,1349895,800.17,808.84
H100_v4.1_logs,32,1345537,819.70,825.16
H100_v4.1_logs,32,1529234,750.71,757.36
H100_v4.1_logs,64,1512409,793.69,801.24
H100_v4.1_logs,64,1415473,834.28,840.43
H100_v4.1_logs,128,1501662,820.74,825.65
H100_v4.1_logs,32,1486690,770.55,778.33
H100_v4.1_logs,32,1450025,779.51,787.49
H100_v4.1_logs,256,2884909,834.65,838.54
H100_v4.1_logs,256,1508775,838.24,843.05
H100_v4.1_logs,32,1553320,745.21,751.88
H100_v4.1_logs,32,2095813,761.72,766.26
H100_v4.1_logs,16,2148594,705.70,718.12
H100_v4.1_logs,16,1520031,726.47,731.65
H100_v4.1_logs,64,2741111,788.39,794.82
H100_v4.1_logs,128,2914991,810.20,815.43
H100_v4.1_logs,32,1348252,815.06,822.27
H100_v4.1_logs,16,1470387,746.23,754.31
H100_v4.1_logs,256,2604766,824.46,828.57
H100_v4.1_logs,16,1491217,739.82,748.91
H100_v4.1_logs,64,1510385,796.79,802.95
H100_v4.1_logs,32,1367120,809.96,820.50
H100_v4.1_logs,64,1503895,799.83,806.15
H100_v4.1_logs,128,2413309,813.59,818.55
H100_v4.1_logs,16,1477206,746.24,756.26
H100_v4.1_logs,128,1598197,798.86,805.67
H100_v4.1_logs,256,1514904,837.80,842.72
H100_v4.1_logs,256,1570646,829.71,834.30
H100_v4.1_logs,256,1530106,836.55,840.65
H100_v4.1_logs,128,1560541,811.40,815.89
H100_v4.1_logs,64,1424908,829.85,836.89
H100_v4.1_logs,64,1505949,799.53,806.47
H100_v4.1_logs,64,1510596,797.57,804.46
H100_v4.1_logs,256,1510327,838.92,843.43
H100_v4.1_logs,128,2554221,812.19,817.07
H100_v4.1_logs,32,1421302,819.44,825.23
H100_v4.1_logs,16,1467913,737.07,747.37
H100_v4.1_logs,256,1581032,822.36,828.72
H100_v4.1_logs,128,1562403,811.17,815.48
H100_v4.1_logs,128,1421041,840.62,847.09
H100_v4.1_logs,128,2543144,838.08,842.49
H100_v4.1_logs,256,2775613,819.66,823.83
QRTX6000_v1.1_logs,128,5996584,214.53,216.79
QRTX6000_v1.1_logs,16,5557069,191.70,194.20
QRTX6000_v1.1_logs,32,5272121,194.69,196.43
QRTX6000_v1.1_logs,32,5352922,194.12,195.94
QRTX6000_v1.1_logs,128,5427226,218.93,221.39
QRTX6000_v1.1_logs,32,5291180,197.12,199.86
QRTX6000_v1.1_logs,64,6007517,201.88,204.17
QRTX6000_v1.1_logs,256,6003901,220.00,222.47
QRTX6000_v1.1_logs,128,6017433,211.71,214.05
QRTX6000_v1.1_logs,256,5644643,223.32,225.86
QRTX6000_v1.1_logs,16,5291052,192.64,195.05
QRTX6000_v1.1_logs,16,5487449,192.14,194.61
QRTX6000_v1.1_logs,64,5431892,212.80,215.54
QRTX6000_v1.1_logs,32,5296860,201.77,203.49
QRTX6000_v1.1_logs,64,5891086,200.47,202.90
QRTX6000_v1.1_logs,16,5355772,192.56,195.01
QRTX6000_v1.1_logs,64,6004693,201.47,203.77
QRTX6000_v1.1_logs,128,5507365,208.79,212.02
QRTX6000_v1.1_logs,256,6012269,218.63,221.08
QRTX6000_v1.1_logs,32,5405953,194.98,196.68
QRTX6000_v1.1_logs,32,5487554,190.18,192.32
QRTX6000_v1.1_logs,64,6031199,204.12,206.61
QRTX6000_v1.1_logs,128,5993361,216.02,218.44
QRTX6000_v1.1_logs,32,5284987,194.85,196.47
